CHEBI:3149	C09050
CHEBI:28093	C01411
CHEBI:27560	C06266
CHEBI:3153	C09051
CHEBI:3155	C09054
CHEBI:3157	C09915
CHEBI:3160	C07946
CHEBI:3164	C09366
CHEBI:3167	C11048
CHEBI:3170	C09920
CHEBI:3172	C06855
CHEBI:3174	C09083
CHEBI:3175	C07886
CHEBI:3177	C10911
CHEBI:3181	C06856
CHEBI:3183	C06857
CHEBI:3185	C09505
CHEBI:3186	C09524
CHEBI:3188	C08749
CHEBI:3189	C08750
CHEBI:3190	C08751
CHEBI:3192	C08753
CHEBI:3193	C09084
CHEBI:3195	C10133
CHEBI:3196	C08519
CHEBI:3197	C08754
CHEBI:3198	C08789
CHEBI:3203	C10649
CHEBI:3205	C07777
